4780942754,412413765,44,879607674,65,166436385,33,149049398,102,192605145,129,86897891,39,122041323,112,149735780,27,132486134,6,167356029,1558745070,1,22,86,37.93,41,
4780962021,203982545,17,232567414,114,203086104,109,424997123,111,92418124,75,876336215,74,31401823,41,164899901,69,257935384,102,334142071,1558746157,0,22,95,47.74,41,
4781015608,945149217,62,114559048,7,267176760,86,76395305,59,838406193,102,60175284,69,963708472,42,333765799,47,4344452,91,85898221,1558748798,0,22,26,34.06,41,
4781021762,110384483,81,107234979,79,132060264,34,341357326,19,171622915,91,248843168,7,876770890,30,318766872,72,155631943,26,199312854,1558749072,0,22,120,49,41,
4781149285,333765799,109,238026985,37,469822953,83,313380426,69,857788254,106,877213187,119,230521358,71,97377892,120,327449067,53,370364253,1558754736,1,22,1,42.25,41,
4781185235,115439923,60,341423941,114,110071736,87,96623200,14,111229270,121,97014487,69,51032613,4,80346244,28,86788706,106,40936399,1558756084,1,22,86,31.62,41,
4781266342,217858334,91,100884598,95,403130263,78,135832574,18,197543072,46,50674154,1,160987706,82,106101697,20,347839440,25,65459435,1558759069,0,22,37,25.77,41,
4781302720,136571075,69,96183976,46,187382090,93,117582563,87,333765799,7,314904672,54,433927650,34,114933489,105,203351055,65,981725924,1558760391,1,22,84,36.9,41,
4781306558,64110836,23,66877218,111,115186261,42,100599348,94,7526887,40,93710134,97,119528790,8,39239498,91,40936399,49,104647142,1558760447,0,22,52,50.43,41,
4781489044,65096049,62,102869437,8,37898716,46,227881829,102,47221877,90,217858334,109,336818643,121,135832574,49,100884598,119,403130263,1558764776,0,22,60,27.8,41,
4781496094,167349359,14,886291512,8,189506905,96,104354486,26,359305368,119,205858886,111,188985451,70,422101204,46,242784910,121,126521990,1558764965,1,22,69,37.02,41,
4781528191,289420778,64,147604973,107,315351964,98,125084197,22,101853463,6,267400848,7,212545111,21,177411436,15,352409191,14,199267308,1558765737,0,22,114,27.23,41,
4781559047,148680333,27,124168390,83,130368973,75,113197410,114,134711350,46,202757286,64,109758944,67,149041515,35,125184383,119,132213744,1558766737,1,22,129,38.76,41,
4781567993,217858334,48,336818643,121,135832574,17,100884598,120,403130263,14,196661999,5,132444426,60,136463336,43,143830982,93,32996090,1558767062,0,22,40,41.98,41,
4781582912,114045241,14,120041682,79,135909373,1,85798075,11,146847479,69,179337639,16,267943020,106,200387036,49,448206929,2,258565491,1558767378,0,22,27,33.25,41,
4781587972,140546694,54,150446292,33,138321542,21,297632881,106,164649754,14,135584482,93,46125272,49,175090940,79,242789972,120,114024999,1558767512,0,22,90,40.62,41,
4781593470,910718522,17,53003429,105,171660664,28,183533793,42,48450164,110,113938982,93,191415445,80,886131622,7,122662168,25,262249264,1558767632,1,22,101,38.35,41,
4781596381,86899228,60,45965255,79,91148626,14,97745967,106,104900236,44,882983873,107,93052630,70,167487924,40,267177292,48,442205007,1558767708,1,22,5,40.8,41,
4781695688,110478723,34,200392713,119,278236066,2,402804054,88,42547376,69,217858334,95,336818643,121,135832574,49,100884598,120,403130263,1558770086,0,22,14,46.15,41,
